	Translation	Positive	Negative	EmotionRationale
 Existem milhões maneiras cadastrar informações necessidade enfrentar fila ir Detran obter certificado digital	 Existem milhões maneiras cadastrar informações necessidade enfrentar fila ir Detran obter certificado digital	1	-1	 Existem[0] milhões[0] maneiras[0] cadastrar[0] informações[0] necessidade[0] enfrentar[0] fila[0] ir[0] Detran[0] obter[0] certificado[0] digital[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 vc precisa ir Detran vale pena	 vc precisa ir Detran vale pena	1	-2	 vc[0] precisa[0] ir[0] Detran[0] vale[0] pena[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
 problema é certificado digital ter enfrentar martírio ir Detran é impensável testar apresenta vantagem momento tecnologia adoção cairá esquecimento tentativas atabalhoadas governo inovar inovar	 problema é certificado digital ter enfrentar martírio ir Detran é impensável testar apresenta vantagem momento tecnologia adoção cairá esquecimento tentativas atabalhoadas governo inovar inovar	1	-2	 problema[-1] é[0] certificado[0] digital[0] ter[0] enfrentar[0] martírio[0] ir[0] Detran[0] é[0] impensável[0] testar[0] apresenta[0] vantagem[0] momento[0] tecnologia[0] adoção[0] cairá[0] esquecimento[-1] tentativas[0] atabalhoadas[0] governo[0] inovar[0] inovar[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
 faz sentido ter ir Detran validar acesso caso ter certificado	 faz sentido ter ir Detran validar acesso caso ter certificado	1	-1	 faz[0] sentido[0] ter[0] ir[0] Detran[0] validar[0] acesso[0] caso[0] ter[0] certificado[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 Tem ir unidade Detran validar dados	 Tem ir unidade Detran validar dados	1	-1	 Tem[0] ir[0] unidade[0] Detran[0] validar[0] dados[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 UX prejudicada necessidade ter ir Detran	 UX prejudicada necessidade ter ir Detran	1	-2	 UX[0] prejudicada[-1] necessidade[0] ter[0] ir[0] Detran[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
 Ter ir unidade Detran confirmar e-mail telefone é sério	 Ter ir unidade Detran confirmar e-mail telefone é sério	1	-1	 Ter[0] ir[0] unidade[0] Detran[0] confirmar[0] e[0] mail[0] telefone[0] é[0] sério[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 burocrático precisa ir Detran confirmar dados	 burocrático precisa ir Detran confirmar dados	1	-2	 burocrático[-1] precisa[0] ir[0] Detran[0] confirmar[0] dados[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
 adianta poder usar celular ir Detran validar	 adianta poder usar celular ir Detran validar	1	-1	 adianta[0] poder[0] usar[0] celular[0] ir[0] Detran[0] validar[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 Perder tempo ir Detran ter CNH celular	 Perder tempo ir Detran ter CNH celular	1	-2	 Perder[-1] tempo[0] ir[0] Detran[0] ter[0] CNH[0] celular[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
